콘텐츠아이디,콘텐츠분류,제목,언어,타이틀,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크주소,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,웹사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문웹사용여부,중문웹사용여부,일문웹사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,소셜네트워크공유수,인기점수,트립어드바이저코드,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지검색어자동여부,영문페이지검색어자동여부,중문페이지검색어자동여부,일문페이지검색어자동여부,사진공유수,번체웹사용여부,말레이어웹사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체검색어자동여부,말레이어검색어자동여부
CNTS_200000000012451,축제/행사,제주민속촌 설몽아일랜드,국문,제주민속촌 설몽아일랜드,,제주특별자치도 서귀포시 표선면 표선리 40-1,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.3223451,126.8414874,y,0,,2108,,0,0,4,0,0,y,y,y,y,y,2021-12-09,,,,m,m,m,,,,,,,,,,iamsunon,2021-12-09,iamsunon,2023-03-10,4,4216,,,n,2021-12-09,,,,y,n,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_200000000012453,쇼핑,소소한담,국문,소소한담,,제주특별자치도 제주시 애월읍 신엄리 1280-16,제주특별자치도 제주시 애월읍 일주서로 6691,33.4714955,126.3670126,y,0,,692,,1,0,2,0,0,y,y,y,y,y,2021-12-10,,,,m,m,m,,,,,,,,,,iamsunon,2021-12-10,iamsunon,2023-03-15,0,1387,,,n,2021-12-10,,,,y,n,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_000000000021111,관광지,제주곶자왈도립공원,국문,제주곶자왈도립공원,,제주특별자치도 서귀포시 대정읍 보성리 산 1,제주특별자치도 서귀포시 대정읍 에듀시티로 178,33.282955,126.27152,y,5,,21273,,8,12,175,0,2,y,y,y,y,y,2019-01-11,y,y,y,y,m,m,y,y,y,y,y,y,2021-03-24,,,anonymous,2016-12-19,anonymous,2023-03-15,12,42630,,63644,n,2016-12-19,2021-03-18,2016-12-19,2016-12-19,n,n,n,n,28,,,,,,,,,,,,,,
CNTS_000000000021452,관광지,하논마르,국문,하논마르,,제주특별자치도 서귀포시 서홍동 1003,제주특별자치도 서귀포시 서홍동 1003,33.252937,126.54583,y,,,3054,,0,0,2,0,0,y,y,y,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-12-27,anonymous,2023-03-15,0,6108,,,n,2016-12-27,2016-12-27,2016-12-27,2016-12-27,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022469,관광지,제주글램핑 (무한자미향),국문,제주글램핑 (무한자미향),,제주특별자치도 제주시 구좌읍 덕천리 1288-2,제주특별자치도 제주시 구좌읍 중산간동로 1921,33.48201,126.753845,y,,,3988,,0,0,3,0,0,y,y,y,y,y,2018-08-13,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-08-14,anonymous,2023-03-15,0,7976,,,n,2017-08-14,2017-08-14,2017-08-14,2017-08-14,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000018857,숙박,태흥리조트,국문,태흥리조트,,제주특별자치도 서귀포시 남원읍 태흥리 372-3,제주특별자치도 서귀포시 남원읍 태위로 988-6,33.288475,126.750114,y,,,1366,,0,0,0,0,0,y,y,y,y,y,2019-06-26,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-10-17,anonymous,2023-03-09,0,2732,6892892,63617,n,2016-10-17,2016-10-17,2016-10-17,2016-10-17,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000021993,음식점,한라통닭,국문,한라통닭,,제주특별자치도 서귀포시 서귀동 275-37,제주특별자치도 서귀포시 중정로73번길 13,33.2492088,126.5639079,y,5,,1852,,1,1,17,0,0,y,y,y,y,y,2019-10-28,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-06-15,anonymous,2023-03-15,0,3712,,,n,2017-06-15,2017-06-15,2017-06-15,2017-06-15,y,n,n,n,2,,,,,,,,,,,,,,
CNTS_000000000022171,관광지,낙타트래킹,국문,낙타트래킹,,제주특별자치도 서귀포시 표선면 성읍리 2684,제주특별자치도 서귀포시 표선면 번영로 2564-21,33.40256,126.77849,y,5,,11080,,1,3,92,0,0,y,y,y,y,y,2018-06-14,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-07-18,anonymous,2023-03-15,4,22178,,63624,n,2017-07-18,2017-07-18,2017-07-18,2017-07-18,n,n,n,n,10,,,,,,,,,,,,,,
CNTS_000000000022000,축제/행사,2017 SMTOWN Workshop in Jeju,국문,2017 SMTOWN Workshop in Jeju,,제주특별자치도 서귀포시 중문관광로 224 제주국제컨벤션센터,,33.241238,126.42449,y,5,,610,,0,0,0,0,0,y,y,n,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-06-19,anonymous,2022-02-14,0,1220,,,n,2017-06-19,2017-06-19,2017-06-19,2017-06-19,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000021453,음식점,수다뜰,국문,수다뜰,,제주특별자치도 제주시 구좌읍 종달리 2566-1,제주특별자치도 제주시 구좌읍 용눈이오름로 8,33.491867,126.89316,y,4,blog.naver.com/imhj8177,2150,,0,1,13,0,0,y,y,y,y,y,2019-10-28,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-12-27,anonymous,2023-03-15,1,4305,9167303,63354,n,2016-12-27,2016-12-27,2016-12-27,2016-12-27,y,n,n,n,,,,,,,,,,,,,,,
