"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"2018","4","A","골목상권","1000352","노해로60길","2643","1186","1457","8","417","615","647","655","301","5","135","283","296","298","169","3","282","332","351","357","132"
"2018","4","A","골목상권","1000914","봉은사로43길","26004","15329","10675","79","5598","8710","5795","3494","2328","41","2137","5089","4026","2345","1691","38","3461","3621","1769","1149","637"
"2018","4","A","골목상권","1000915","봉은사로57길","13361","7768","5593","48","2716","4401","3102","2108","986","22","1009","2438","2093","1457","749","26","1707","1963","1009","651","237"
"2018","4","A","골목상권","1000917","삼성로115길","6446","3652","2794","14","1392","2138","1460","831","611","5","524","1233","930","528","432","9","868","905","530","303","179"
"2018","4","A","골목상권","1000929","압구정로2길","14787","7271","7516","92","3922","4835","3190","1659","1089","39","1247","2510","1847","916","712","53","2675","2325","1343","743","377"
"2018","4","A","골목상권","1000890","개포로20길","23510","14894","8616","48","2788","6249","6797","5177","2451","16","1451","4143","4321","3114","1849","32","1337","2106","2476","2063","602"
"2018","4","A","골목상권","1000880","효령로23길","10721","6759","3962","52","2367","3046","2489","1490","1277","28","1098","1989","1712","923","1009","24","1269","1057","777","567","268"
"2018","4","A","골목상권","1000859","마방로2길","14632","9798","4834","38","2190","3880","3748","3033","1743","23","1187","2590","2691","2019","1288","15","1003","1290","1057","1014","455"
"2018","4","A","골목상권","1000778","흑석로13길","5542","2485","3057","2","1043","1593","1324","1064","516","1","244","579","657","637","367","1","799","1014","667","427","149"
"2018","4","A","골목상권","1000709","디지털로74길","2701","924","1777","4","726","660","572","463","276","1","131","221","212","196","163","3","595","439","360","267","113"
"2018","4","A","골목상권","1000771","여의대방로22나길","29116","15984","13132","77","4879","6316","6452","7120","4272","39","3215","4495","3504","2897","1834","38","1664","1821","2948","4223","2438"
"2018","4","A","골목상권","1000928","선릉로18길","973","438","535","7","100","241","225","248","152","6","35","97","104","98","98","1","65","144","121","150","54"
"2018","4","A","골목상권","1000363","도봉로152가길","2412","1400","1012","5","248","533","644","568","414","2","110","258","363","371","296","3","138","275","281","197","118"
"2018","4","A","골목상권","1000906","도산대로23길","23357","11513","11844","92","6175","7977","5002","2605","1506","29","1732","4014","3092","1607","1039","63","4443","3963","1910","998","467"
"2018","4","A","골목상권","1000865","사임당로17길","22377","12475","9902","77","3817","7224","5780","3456","2023","27","1307","3939","3512","2202","1488","50","2510","3285","2268","1254","535"
"2018","4","A","골목상권","1000747","사당로16가길","1971","1016","955","1","158","291","423","408","690","0","55","114","208","203","436","1","103","177","215","205","254"
"2018","4","A","골목상권","1000748","사당로16길","2268","1208","1060","0","200","387","513","448","720","0","67","178","279","224","460","0","133","209","234","224","260"
"2018","4","A","골목상권","1000766","성대로1길","2183","918","1265","6","260","442","577","541","357","4","95","211","256","199","153","2","165","231","321","342","204"
"2018","4","A","골목상권","1000447","증가로10길","1871","1030","841","5","207","336","458","496","369","2","76","161","236","292","263","3","131","175","222","204","106"
"2018","4","A","골목상권","1000465","독막로8길","6895","3868","3027","36","2098","2352","1373","678","358","21","897","1427","869","418","236","15","1201","925","504","260","122"
"2018","4","A","골목상권","1000494","와우산로29가길","6641","4154","2487","24","1473","1732","1540","1117","755","7","716","1105","1033","734","559","17","757","627","507","383","196"
"2018","4","A","골목상권","1000503","월드컵로7길","13233","7584","5649","48","2502","4138","3457","1935","1153","16","873","2200","2329","1374","792","32","1629","1938","1128","561","361"
"2018","4","A","골목상권","1000354","덕릉로60길","1563","670","893","16","179","306","436","430","196","10","68","129","183","169","111","6","111","177","253","261","85"
"2018","4","A","골목상권","1000828","장군봉2길","2686","1310","1376","1","349","594","676","600","466","0","121","280","347","297","265","1","228","314","329","303","201"
"2018","4","A","골목상권","1000922","삼성로69길","8451","4409","4042","29","1590","2299","1952","1579","1002","15","587","1152","1097","861","697","14","1003","1147","855","718","305"
"2018","4","A","골목상권","1000247","면목로56길","1959","1032","927","2","177","320","473","590","397","1","66","153","249","302","261","1","111","167","224","288","136"
"2018","4","A","골목상권","1000341","오패산로52길","701","272","429","1","68","174","190","196","72","0","18","60","78","84","32","1","50","114","112","112","40"
"2018","4","A","골목상권","1000261","길음로7길","1434","523","911","8","158","209","342","391","326","3","44","88","128","115","145","5","114","121","214","276","181"
"2018","4","A","골목상권","1000275","보문로26길","6733","3252","3481","11","1272","1737","1510","1272","931","4","380","741","852","697","578","7","892","996","658","575","353"
"2018","4","A","골목상권","1000240","망우로73길","1522","838","684","2","169","290","390","399","272","1","72","144","183","239","199","1","97","146","207","160","73"
"2018","4","A","골목상권","1000116","왕십리로14길","17720","10481","7239","30","2703","4419","4480","3862","2226","16","1501","2987","2541","1879","1557","14","1202","1432","1939","1983","669"
"2018","4","A","골목상권","1000031","다산로36길","3116","1450","1666","10","731","848","712","545","270","5","238","400","359","278","170","5","493","448","353","267","100"
"2018","4","A","골목상권","1000097","매봉길","2086","930","1156","9","329","513","515","464","256","2","109","219","229","209","162","7","220","294","286","255","94"
"2018","4","A","골목상권","1000104","상원길","19094","11081","8013","39","3035","5055","4916","3993","2056","26","1689","3383","2790","1893","1300","13","1346","1672","2126","2100","756"
"2018","4","A","골목상권","1000117","왕십리로21길","3584","1947","1637","12","418","781","932","947","494","6","139","355","511","570","366","6","279","426","421","377","128"
"2018","4","A","골목상권","1000101","무학봉길","967","387","580","2","115","234","239","217","160","2","26","79","104","92","84","0","89","155","135","125","76"
"2018","4","A","골목상권","1000209","천호대로12길","15131","9069","6062","71","1939","3707","4316","3154","1944","40","1017","2457","2576","1752","1227","31","922","1250","1740","1402","717"
"2018","4","A","골목상권","1000237","동일로157길","3991","2414","1577","4","449","858","943","901","836","1","211","518","563","562","559","3","238","340","380","339","277"
"2018","4","A","골목상권","1000065","원효로19길","18748","12036","6712","99","5688","4836","3985","2335","1805","58","2587","3309","3077","1820","1185","41","3101","1527","908","515","620"
"2018","4","A","골목상권","1000691","당산로46길","13918","8767","5151","61","1400","2616","3093","3310","3438","33","708","1736","2027","1961","2302","28","692","880","1066","1349","1136"
"2018","4","A","골목상권","1000483","성미산로32길","3511","1982","1529","15","738","1020","848","575","315","7","356","603","482","326","208","8","382","417","366","249","107"
"2018","4","A","골목상권","1000699","도림로112길","1371","705","666","3","147","285","360","334","242","2","49","136","191","168","159","1","98","149","169","166","83"
"2018","4","A","골목상권","1000704","도신로29길","1065","525","540","2","111","209","286","260","197","1","34","96","143","125","126","1","77","113","143","135","71"
"2018","4","A","골목상권","1000067","원효로53길","7424","4982","2442","45","962","2333","2142","1166","776","28","563","1662","1477","766","486","17","399","671","665","400","290"
"2018","4","A","골목상권","1000323","도봉로67길","1382","594","788","0","190","236","323","345","288","0","58","81","130","149","176","0","132","155","193","196","112"
"2018","4","A","골목상권","1000147","뚝섬로54길","1273","600","673","0","92","249","336","322","274","0","32","109","147","147","165","0","60","140","189","175","109"
"2018","4","A","골목상권","1000079","한강대로43길","28361","17764","10597","90","8001","9135","6420","3234","1481","37","3552","5967","4909","2314","985","53","4449","3168","1511","920","496"
"2018","4","A","골목상권","1000311","화랑로19길","1920","1027","893","2","208","434","531","437","308","0","91","204","284","218","230","2","117","230","247","219","78"
"2018","4","A","골목상권","1000283","솔샘로6길","1204","668","536","2","139","182","289","346","246","1","43","101","151","207","165","1","96","81","138","139","81"
"2018","4","A","골목상권","1000344","인수봉로72길","1444","701","743","2","141","262","379","396","264","2","53","124","194","178","150","0","88","138","185","218","114"
"2018","4","A","골목상권","1000131","광나루로40길","2479","1494","985","1","250","452","598","711","467","0","89","248","367","463","327","1","161","204","231","248","140"
"2018","4","A","골목상권","1000132","광나루로52길","10878","6083","4795","16","940","1969","2969","3347","1637","10","465","1189","1822","1757","840","6","475","780","1147","1590","797"
