구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H316202307102714,여,55,J00104,중학교,서울,강서구,서울,양천구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",4,4년0월,J03402,승인,,,,,,47:37.0,47:41.0
H317202307102703,여,68,J00102,초등학교,서울,구로구,서울,금천구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",25,25년0월,J03402,승인,,,,,,45:51.0,45:55.0
H310202307102701,여,62,J00102,초등학교,서울,도봉구,서울,,550104,재가 요양보호사,7,7년0월,J03404,알선,,,,,,45:42.0,45:46.0
H306202307102696,여,61,J00102,초등학교,서울,동대문구,서울,,550104,재가 요양보호사,,신입,J03402,승인,전농,답십리,장안1동,촬영소,,45:15.0,45:19.0
H319202307102669,여,66,J00104,중학교,서울,영등포구,서울,,550104,재가 요양보호사,5,5년0월,J03402,승인,신길1,신길7,대방,신길,치매,41:27.0,41:31.0
H307202307102657,여,72,J00102,초등학교,서울,중랑구,서울,,561100,청소원,3,3년0월,J03404,알선,,,,,,40:07.0,40:11.0
H318202307102656,남,63,J00104,중학교,서울,금천구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",4,4년0월,J03404,알선,,,,,,39:59.0,40:02.0
H318202307102650,남,67,J00104,중학교,서울,금천구,서울,구로구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,38:45.0,38:49.0
H304202307102643,남,65,J00110,대학_대학교,서울,광진구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,37:36.0,37:42.0
H316202307102640,남,71,J00104,중학교,서울,강서구,서울,양천구,561100,청소원,5,5년0월,J03402,승인,,,,,,36:51.0,36:55.0
H325202307102623,남,67,J00106,고등학교,서울,강동구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,34:29.0,34:35.0
H323202307102622,여,62,J00104,중학교,서울,금천구,서울,,550104,재가 요양보호사,8,8년0월,J03404,알선,,,,,,34:28.0,34:33.0
H314202307102614,여,59,J00106,고등학교,서울,마포구,서울,,616101,매장 계산원,9,9년0월,J03402,승인,,,,,,33:06.0,33:11.0
H311202307102611,남,70,J00104,중학교,서울,노원구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03404,알선,,,,,,32:48.0,32:53.0
H318202307102603,남,44,J00110,대학_대학교,서울,관악구,서울,금천구,15100,영업?판매 관리자,1,1년0월,J03402,승인,,,,,,31:50.0,31:55.0
H307202307102590,여,49,J00106,고등학교,서울,중랑구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,29:47.0,29:52.0
H320202307102588,남,68,J00101,무학력,서울,동작구,서울,관악구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03405,알선대기,,,,,,29:45.0,29:49.0
H320202307102562,여,62,J00106,고등학교,서울,동작구,,,550104,재가 요양보호사,0,0년3월,J03404,알선,,,,,,24:55.0,25:00.0
H001202307102559,남,64,J00104,중학교,,,,,561100,청소원,30,30년0월,J03402,승인,청소,미화,공공,주차관리,,24:42.0,31:37.0
H001202307102553,남,60,J00110,대학_대학교,서울,,,,521303,"박물관,미술관,문화,역사,자연환경 등 각종 해설사",,신입,J03402,승인,중국어,공공행정,사무원,상담사,해설사,24:08.0,25:47.0
H317202307102544,남,58,J00110,대학_대학교,서울,구로구,서울,양천구,214101,국어 강사,22,22년2월,J03402,승인,,,,,,22:51.0,22:58.0
H301202307102539,여,68,J00106,고등학교,서울,종로구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",7,7년0월,J03402,승인,,,,,,22:10.0,22:14.0
H001202307102494,남,60,J00110,대학_대학교,서울,구로구,서울,양천구,834002,빌딩 전기관리원,,신입,J03402,승인,전기,소방안전,응용어플리케이션 분석/설계,PLSQL,자바/서블릿개발,16:21.0,11:26.0
H319202307102482,남,71,J00104,중학교,서울,영등포구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,14:41.0,14:46.0
